Phishing-ALL,Solution_CRYPTOGRAPHY,Solution_PUBLIC_KEY_INFRASTRUCTURE,Solution_BLACKLISTING,Solution_ENCRYPTION,Solution_DECEPTION_TECHNOLOGY,Solution_ACCESS_CONTROL,Solution_ML/DL,Solution_MULTI_FACTOR_AUTHENTICATION,Solution_MUTUAL_AUTHENTICATION,Solution_NLP/LLM,,,,,,,,,,,,,,,,,
Password_Attack,Solution_PASSWORD_STRENGTH_METERS,Solution_PASSWORD_HASHING,Solution_PASSWORD_MANAGEMENT,Solution_MULTI_FACTOR_AUTHENTICATION,Solution_PASSWORD_POLICY,Solution_GRAPHICAL_AUTHENTICATION,Solution_IDS/IPS,Solution_MUTUAL_AUTHENTICATION,Solution_ML/DL,Solution_ONE_TIME_PASSWORD,Solution_PENETRATION_TESTING,Solution_CAPTCHA,Solution_CRYPTOGRAPHY,Solution_ENCRYPTION,Solution_NLP/LLM,,,,,,,,,,,,
Trojan,Solution_BEHAVIOR_BASED_DETECTION,Solution_IDS/IPS,Solution_ENCRYPTION,Solution_FORMAL_VERIFICATION,Solution_SPLIT_MANUFACTURING,Solution_GAME_THEORY,Solution_ML/DL,Solution_ANOMALY_DETECTION,Solution_CRYPTOGRAPHY,Solution_PENETRATION_TESTING,Solution_NLP/LLM,,,,,,,,,,,,,,,,
Vulnerability,Solution_VULNERABILITY_ASSESSMENT,Solution_PATCH_MANAGEMENT,Solution_PENETRATION_TESTING,Solution_IDS/IPS,Solution_VULNERABILITY_MANAGEMENT,Solution_SIEM,Solution_STANDARDIZED_COMMUNICATION,Solution_CONTROL_FLOW_INTEGRITY,Solution_ML/DL,Solution_VULNERABILITY_SCANNER,Solution_NLP/LLM,,,,,,,,,,,,,,,,
Advanced_Persistent_Threat,Solution_MULTI_FACTOR_AUTHENTICATION,Solution_USER_BEHAVIOR_ANALYTICS,Solution_DATA_LOSS_PREVENTION,Solution_DECEPTION_TECHNOLOGY,Solution_IDS/IPS,Solution_NETWORK_SEGMENTATION,Solution_RISK_ASSESSMENT,Solution_GAME_THEORY,Solution_DYNAMIC_RESOURCE_MANAGEMENT,Solution_ACCESS_CONTROL,Solution_ML/DL,Solution_LEAST_PRIVILEGE,Solution_PENETRATION_TESTING,Solution_NLP/LLM,,,,,,,,,,,,,
Disinformation/Misinformation,Solution_CONTINUOUS_AUTHENTICATION,Solution_DISTRIBUTED_LEDGERS,Solution_BLOCKCHAIN,Solution_DATA_PROVENANCE,Solution_SOURCE_IDENTIFICATION,Solution_IMAGE_RECOGNITION,Solution_HYPERGAME,Solution_ML/DL,Solution_DECEPTION_TECHNOLOGY,Solution_GAME_THEORY,Solution_NLP/LLM,,,,,,,,,,,,,,,,
Targeted_Attack,Solution_MULTI_FACTOR_AUTHENTICATION,Solution_LEAST_PRIVILEGE,Solution_ACCESS_CONTROL,Solution_NETWORK_SEGMENTATION,Solution_ML/DL,Solution_USER_BEHAVIOR_ANALYTICS,Solution_DECEPTION_TECHNOLOGY,Solution_IDS/IPS,Solution_RISK_ASSESSMENT,Solution_GAME_THEORY,Solution_DYNAMIC_RESOURCE_MANAGEMENT,Solution_PENETRATION_TESTING,Solution_NLP/LLM,,,,,,,,,,,,,,
Backdoor,Solution_IDS/IPS,Solution_STATIC_ANALYSIS,Solution_DYNAMIC_ANALYSIS,Solution_ML/DL,Solution_ANOMALY_DETECTION,Solution_PENETRATION_TESTING,,,,,,,,,,,,,,,,,,,,,
Cryptojacking,Solution_BLACKLISTING,Solution_TAINT_ANALYSIS,Solution_ML/DL,Solution_PENETRATION_TESTING,,,,,,,,,,,,,,,,,,,,,,,
DNS_Spoofing,Solution_DNSSEC,Solution_ENCRYPTION,Solution_RISK_ASSESSMENT,Solution_ML/DL,Solution_CRYPTOGRAPHY,Solution_BLOCKCHAIN,Solution_PENETRATION_TESTING,,,,,,,,,,,,,,,,,,,,
Insider_Threat,Solution_DATA_LEAKAGE_DETECTION/PREVENTION,Solution_IDS/IPS,Solution_ANOMALY_DETECTION,Solution_USER_BEHAVIOR_ANALYTICS,Solution_ACTIVITY_MONITORING,Solution_ACCESS_CONTROL,Solution_ENCRYPTION,Solution_MOVING_TARGET_DEFENSE,Solution_KEYSTROKE_DYNAMICS,Solution_ATTACK_TREE,Solution_ML/DL,Solution_LEAST_PRIVILEGE,Solution_PENETRATION_TESTING,Solution_CRYPTOGRAPHY,Solution_NLP/LLM,,,,,,,,,,,,
Data_Poisoning,Solution_DATA_SANITIZATION,Solution_OUTLIER_DETECTION,Solution_DATA_PROVENANCE,Solution_ADVERSARIAL_TRAINING,Solution_TRUSTWORTHY_AI,Solution_BAYESIAN_NETWORK,Solution_ML/DL,Solution_ANOMALY_DETECTION,Solution_NLP/LLM,,,,,,,,,,,,,,,,,,
Session_Hijacking,Solution_STRONG_AUTHENTICATION,Solution_PENETRATION_TESTING,Solution_SSL/TLS,Solution_HTTPS,Solution_CONTINUOUS_AUTHENTICATION,Solution_ENCRYPTION,Solution_IDENTITY_BASED_ENCRYPTION,Solution_SESSION_MANAGEMENT,Solution_ANOMALY_DETECTION,Solution_ML/DL,Solution_CRYPTOGRAPHY,,,,,,,,,,,,,,,,
DDoS,Solution_RATE_LIMITING,Solution_TRAFFIC_SHAPING,Solution_PACKET_FILTERING,Solution_BLACKHOLING,Solution_BLACKLISTING,Solution_BLOCKCHAIN,Solution_RANK_CORRELATION,Solution_IDS/IPS,Solution_ML/DL,Solution_PENETRATION_TESTING,Solution_NLP/LLM,,,,,,,,,,,,,,,,
Ransomware,Solution_APPLICATION_WHITELISTING,Solution_DATA_BACKUPS,Solution_IDS/IPS,Solution_STATIC_ANALYSIS,Solution_BLOCKCHAIN,Solution_CRYPTOGRAPHY,Solution_HIDDEN_MARKOV_MODEL,Solution_ACCESS_CONTROL,Solution_DYNAMIC_ANALYSIS,Solution_ML/DL,Solution_ENCRYPTION,Solution_PATCH_MANAGEMENT,Solution_ANOMALY_DETECTION,Solution_PENETRATION_TESTING,Solution_DECEPTION_TECHNOLOGY,Solution_NLP/LLM,,,,,,,,,,,
Account_Hijacking,Solution_MULTI_FACTOR_AUTHENTICATION,Solution_IDENTITY_MANAGEMENT,Solution_ACCESS_CONTROL,Solution_PENETRATION_TESTING,Solution_LEAST_PRIVILEGE,Solution_ML/DL,Solution_CRYPTOGRAPHY,Solution_IDS/IPS,Solution_SESSION_MANAGEMENT,Solution_CAPTCHA,Solution_ANOMALY_DETECTION,Solution_ENCRYPTION,Solution_NLP/LLM,,,,,,,,,,,,,,
Zero_day,Solution_VULNERABILITY_MANAGEMENT,Solution_IDS/IPS,Solution_FILE_INTEGRITY_MONITORING,Solution_VPN,Solution_PRIVACY_PRESERVING,Solution_GAME_THEORY,Solution_ML/DL,Solution_ANOMALY_DETECTION,Solution_DECEPTION_TECHNOLOGY,Solution_NLP/LLM,,,,,,,,,,,,,,,,,
Malware,Solution_IDS/IPS,Solution_SANDBOXING,Solution_DECEPTION_TECHNOLOGY,Solution_HONEYPOT,Solution_DARKNET_MONITORING,Solution_VIRTUAL_KEYBOARDS,Solution_SECURE_BOOT,Solution_ML/DL,Solution_APPLICATION_WHITELISTING,Solution_DATA_BACKUPS,Solution_STATIC_ANALYSIS,Solution_BLOCKCHAIN,Solution_CRYPTOGRAPHY,Solution_HIDDEN_MARKOV_MODEL,Solution_ACCESS_CONTROL,Solution_DYNAMIC_ANALYSIS,Solution_ENCRYPTION,Solution_PATCH_MANAGEMENT,Solution_ANOMALY_DETECTION,Solution_PENETRATION_TESTING,Solution_BEHAVIOR_BASED_DETECTION,Solution_FORMAL_VERIFICATION,Solution_SPLIT_MANUFACTURING,Solution_GAME_THEORY,Solution_CODE_SIGNING,Solution_FILE_INTEGRITY_MONITORING,Solution_NLP/LLM
Brute_Force_Attack,Solution_MULTI_FACTOR_AUTHENTICATION,Solution_CAPTCHA,Solution_ONE_TIME_PASSWORD,Solution_IDS/IPS,Solution_DYNAMIC_BINARY_INSTRUMENTATION,Solution_ENCRYPTION,Solution_ML/DL,Solution_CRYPTOGRAPHY,Solution_PASSWORD_HASHING,Solution_PENETRATION_TESTING,,,,,,,,,,,,,,,,,
Botnet,Solution_IDS/IPS,Solution_BLACKLISTING,Solution_RATE_LIMITING,Solution_CAPTCHA,Solution_GRAPHICAL_MODEL,Solution_HONEYPOT,Solution_BLOCKCHAIN,Solution_SOFTWARE_DEFINED_NETWORK,Solution_GAME_THEORY,Solution_ML/DL,Solution_ANOMALY_DETECTION,Solution_TRAFFIC_SHAPING,Solution_PACKET_FILTERING,Solution_BLACKHOLING,Solution_RANK_CORRELATION,Solution_PENETRATION_TESTING,Solution_NLP/LLM,,,,,,,,,,
MITM,Solution_CERTIFICATE_PINNING,Solution_SSL/TLS,Solution_PUBLIC_KEY_INFRASTRUCTURE,Solution_ENCRYPTION,Solution_VPN,Solution_SECURE_SIMPLE_PAIRING,Solution_CAPTCHA,Solution_BLOCKCHAIN,Solution_ML/DL,Solution_CRYPTOGRAPHY,Solution_PENETRATION_TESTING,,,,,,,,,,,,,,,,
Dropper,Solution_CODE_SIGNING,Solution_APPLICATION_WHITELISTING,Solution_FILE_INTEGRITY_MONITORING,Solution_SANDBOXING,Solution_ML/DL,Solution_IDS/IPS,Solution_PENETRATION_TESTING,Solution_NLP/LLM,,,,,,,,,,,,,,,,,,,
Adversarial_Attack,Solution_ADVERSARIAL_TRAINING,Solution_DATA_AUGMENTATION,Solution_DIMENSIONALITY_REDUCTION,Solution_DEFENSIVE_DISTILLATION,Solution_DATA_SANITIZATION,Solution_RRAM,Solution_SPATIAL_SMOOTHING,Solution_NOISE_INJECTION,Solution_ML/DL,Solution_OUTLIER_DETECTION,Solution_DATA_PROVENANCE,Solution_TRUSTWORTHY_AI,Solution_BAYESIAN_NETWORK,Solution_ANOMALY_DETECTION,Solution_NLP/LLM,,,,,,,,,,,,
Deepfake,Solution_LIVENESS_DETECTION,Solution_3D_FACE_RECONSTRUCTION,Solution_BIOMETRICS,Solution_DIGITAL_WATERMARK,Solution_ML/DL,Solution_ANOMALY_DETECTION,Solution_NLP/LLM,,,,,,,,,,,,,,,,,,,,
Supply_Chain,Solution_BLOCKCHAIN,Solution_ACCESS_CONTROL,Solution_ENCRYPTION,Solution_SUPPLY_CHAIN_RISK_MANAGEMENT,Solution_IDENTITY_MANAGEMENT,Solution_ML/DL,Solution_ANOMALY_DETECTION,Solution_CRYPTOGRAPHY,Solution_PENETRATION_TESTING,Solution_NLP/LLM,,,,,,,,,,,,,,,,,
IoT_Device_Attack,Solution_SECURE_BOOT,Solution_CRYPTOGRAPHY,Solution_IDENTITY_MANAGEMENT,Solution_BLOCKCHAIN,Solution_ENCRYPTION,Solution_MERKLE_SIGNATURE,Solution_ML/DL,Solution_MULTI_FACTOR_AUTHENTICATION,Solution_IDS/IPS,Solution_ANOMALY_DETECTION,Solution_PENETRATION_TESTING,,,,,,,,,,,,,,,,
